p,t
epxge,the~ Pisgah
egia,the~ STEEP.VALLEY
fmbmft,and~ from~ Bamot
xihn,Sihhon
iese,Yahats ~unto
marnn,from~ Arnon
fikef,and~ he~ will~ make~ HIT(Verb) ~him
bntie,DAUGHTER ~s ~her
bhcbfn,in~ Hheshbon
arnn,Arnon
bmlk,in~ KING
hcbfn,Hheshbon
xihfn,Sihhon
ftkfnn,and~ she~ will~ self~ PREPARE(Verb)
emclim,the~ REGULATE(Verb) ~ing(mp)
mqrit,from~ METROPOLIS
lebe,GLIMMERING
mhcbfn,from~ Hheshbon
bcbit,in~ the~ CAPTIVITY
fbntif,and~ DAUGHTER ~s ~him
plijm,ESCAPED ~s
kmfc,Kemosh
abdt,you(ms)~ did~ PERISH(Verb)
afi,OH
midba,Meydva
nph,Nophahh
fncim,and~ we~ will~ make~ DESOLATE(Verb)
dibn,Dibon
abd,he~ did~ PERISH(Verb)
fnirm,and~ we~ will~ THROW(Verb) ~them(m)
filkdf,and~ they(m)~ will~ TRAP(Verb)
iozr,Yazeyr
adroi,Ed're'i
lmlhme,to~ the~ BATTLE
ebcn,the~ Bashan
ofg,Og
lxihn,to~ Sihhon
fiircf,and~ they(m)~ will~ POSSESS(Verb)
crid,SURVIVOR
irhf,Ye'rey'hho
lirdn,to~ Yarden
borbft,in~ DESERT ~s
lamri,to~ the~ Emor ~of
blq,Balaq
fiqs,and~ he~ will~ LOATHE(Verb)
lmfab,to~ Mo'av
fblq,and~ Balaq
klhk,like~ >~ LICK(Verb)
xbibtinf,ALL.AROUND ~s ~us
ilhkf,they(m)~ will~ much~ LICK(Verb)
mmli,from~ FOREFRONT ~me
ptfre,Petor ~unto
blom,Bilam
ifar,he~ will~ be~ make~ SPIT.UPON(Verb)
mbrk,be~ much~ KNEEL(Verb) ~ing(ms)
tbrk,you(ms)~ will~ much~ KNEEL(Verb)
fagrcnf,and~ I~ will~ much~ CAST.OUT(Verb) ~him
nke,we~ will~ make~ HIT(Verb)
osfm,NUMEROUS
are,!(ms)~ SPIT.UPON(Verb) ~&
fqxmim,and~ DIVINATION ~s
linf,!(mp)~ STAY.THE.NIGHT(Verb)
spr,Tsipor
fgrctif,and~ I~ did~ much~ CAST.OUT(Verb) ~him
qbe,!(ms)~ HOLLOW.OUT(Verb) ~&
omem,WITH ~them(m)
ltti,to~ >~ GIVE(Verb) ~me
fnkbdim,and~ be~ BE.HEAVY(Verb) ~ing(mp)
melk,from~ >~ WALK(Verb)
akbdk,I~ will~ much~ BE.HEAVY(Verb) ~you(ms)
gdfle,GREAT
qjne,SMALL
lobr,to~ the~ >~ CROSS.OVER(Verb)
lcjn,to~ OPPONENT
lejte,to~ >~ make~ EXTEND(Verb) ~her
eatfn,the~ SHE.DONKEY
ftj,and~ she~ will~ EXTEND(Verb)
clfpe,PULL.OUT(Verb) ~ed(fs)
fhrbf,and~ SWORD ~him
fgdr,and~ FENCE
gdr,FENCE
ekrmim,the~ VINEYARD ~s
bmcofl,in~ NARROW.WAY
lekte,to~ >~ make~ HIT(Verb) ~her
ftlhs,and~ she~ will~ SQUEEZE(Verb)
lnjft,to~ >~ EXTEND(Verb)
obfr,>~ CROSS.OVER(Verb)
bmql,in~ the~ ROD
ftrbs,and~ she~ will~ STRETCH.OUT(Verb)
ekitni,you(ms)~ did~ make~ HIT(Verb) ~me
lblom,to~ Bilam
ergtik,I~ did~ KILL(Verb) ~you(fs)
etollt,you(fs)~ did~ self~ WORK.OVER(Verb)
latfn,to~ the~ SHE.DONKEY
exknti,I~ did~ make~ BENEFIT(Verb)
eexkn,?~ >~ make~ BENEFIT(Verb)
mofdk,from~ YET.AGAIN ~you(ms)
rkbt,you(ms)~ did~ RIDE(Verb)
atnk,SHE.DONKEY ~you(ms)
clpe,PULL.OUT(Verb) ~ed(fs)
lngdi,to~ BE.FACE.TO.FACE(Verb) ~me
irj,he~ did~ HAND.OVER(Verb)
isati,I~ did~ GO.OUT(Verb)
clfc,THREE
ehiiti,I~ did~ make~ LIVE(Verb)
fafte,and~ SIGN ~her
njte,she~ did~ EXTEND(Verb)
ftrani,and~ she~ will~ SEE(Verb) ~me
lqrati,to~ >~ MEET(Verb) ~me
fapx,and~ FAR.END
egbfl,the~ BORDER
eamnm,?~ INDEED
eikl,?~ >~ BE.ABLE(Verb)
hsft,Hhutsot
flcrim,and~ to~ the~ NOBLE ~s
ailim,BUCK ~s
mzbht,ALTAR ~s
fblom,and~ Bilam
cpi,BARE.PLACE
fegdti,and~ I~ did~ make~ BE.FACE.TO.FACE(Verb)
iqre,he~ will~ be~ MEET(Verb)
etisb,!(ms)~ self~ STAND.UP(Verb)
lblq,to~ Balaq
faol,and~ I~ will~ make~ GO.UP(Verb)
orkti,I~ did~ ARRANGE(Verb)
emzbht,the~ ALTAR ~s
fiqr,and~ he~ will~ MEET(Verb)
zome,!(ms)~ ENRAGE(Verb) ~&
merri,from~ HILL ~s
inhni,he~ will~ make~ GUIDE(Verb) ~me
mclf,PARABLE ~him
zom,he~ did~ ENRAGE(Verb)
azom,I~ will~ ENRAGE(Verb)
aqb,I~ will~ HOLLOW.OUT(Verb)
ithcb,he~ will~ self~ THINK(Verb)
fbgfim,and~ in~ the~ NATION ~s
lbdd,to~ ALONE
acfrnf,I~ will~ LOOK.UPON(Verb) ~him
aranf,I~ will~ SEE(Verb) ~him
srim,BOULDER ~s
mrac,from~ HEAD
ahriti,END ~me
icrim,STRAIGHT ~s
tmt,she~ will~ DIE(Verb)
fmxpr,and~ NUMBER
mne,he~ did~ RECKON(Verb)
lqhtik,I~ did~ TAKE(Verb) ~you(ms)
aibi,ATTACK(Verb) ~ing(ms) ~s ~me
lqb,to~ >~ HOLLOW.OUT(Verb)
fqbnf,and~ !(ms)~ HOLLOW.OUT(Verb) ~him
fklf,and~ ALL ~him
tranf,you(ms)~ will~ SEE(Verb) ~him
spim,Tsophim
aqre,I~ will~ be~ MEET(Verb)
fenf,and~ LOOK ~him
odi,UNTIL ~me
eazine,!(ms)~ make~ WEIGH.OUT(Verb) ~&
iqimne,he~ will~ make~ RISE(Verb) ~her
fitnhm,and~ he~ will~ self~ COMFORT(Verb)
fikzb,and~ he~ will~ much~ LIE(Verb)
acibne,I~ will~ make~ TURN.BACK(Verb) ~her
ftrfot,and~ the~ SHOUT
oml,LABOR
ebij,he~ did~ make~ STARE(Verb)
ktfopt,like~ BULK ~s
mfsiam,make~ GO.OUT(Verb) ~ing(ms) ~them(m)
pol,he~ did~ MAKE(Verb)
qxm,DIVINATION
hllim,DRILLED ~s
fdm,and~ BLOOD
itnca,he~ will~ self~ LIFT.UP(Verb)
fkari,and~ like~ LION
klbia,like~ LIONESS
tbrknf,you(ms)~ will~ much~ KNEEL(Verb) ~him
tqbnf,you(mp)~ will~ HOLLOW.OUT(Verb) ~him
qb,>~ HOLLOW.OUT(Verb)
fqbtf,and~ you(ms)~ did~ HOLLOW.OUT(Verb) ~him
iicr,he~ will~ BE.STRAIGHT(Verb)
aqhk,I~ will~ TAKE(Verb) ~you(ms)
encqp,872 the~ be~ LOOK.DOWN(Verb) ~ing(ms)
epofr,the~ Pe'or
nhcim,PREDICTION ~s
kpom,like~ FOOTSTEP
lcbjif,to~ STAFF ~s ~him
egbr,the~ WARRIOR
fnam,and~ DECLARE(Verb) ~ed(ms)
fglfi,and~ REMOVE.THE.COVER(Verb) ~ed(ms)
ihze,he~ will~ PERCEIVE(Verb)
mhze,VISION
mckntik,DWELLING ~s ~you(ms)
aelik,TENT ~you(ms)
jbf,FUNCTIONAL ~him
karzim,like~ CEDAR ~s
njo,he~ did~ PLANT(Verb)
kaelim,like~ ALOE ~s
kgnt,like~ GARDEN ~s
njif,they~ did~ be~ EXTEND(Verb)
knhlim,like~ WADI ~s
mlktf,EMPIRE ~him
ftnca,and~ she~ will~ self~ LIFT.UP(Verb)
magg,from~ Agag
mdlif,from~ BUCKET ~s ~him
izl,he~ will~ FLOW(Verb)
imhs,he~ will~ STRIKE.THROUGH(Verb)
fhsif,and~ ARROW ~s
igrm,he~ will~ much~ GNAW(Verb)
fosmtiem,876 and~ BONE ~s ~them(m)
srif,NARROW ~s ~him
mfsiaf,make~ GO.OUT(Verb) ~ing(ms) ~him
farrik,and~ SPIT.UPON(Verb) ~ing(mp) ~you(ms)
kari,like~ LION
qratik,I~ did~ CALL.OUT(Verb) ~you(ms)
fixpq,and~ he~ will~ CLASP(Verb)
mkbfd,from~ ARMAMENT
mnok,he~ did~ WITHHOLD(Verb) ~you(ms)
mqfmk,AREA ~you(ms)
clht,you(ms)~ did~ SEND(Verb)
mlakik,MESSENGER ~s ~you(ms)
lomi,to~ PEOPLE ~me
dot,DISCERNMENT
fqrqr,and~ he~ did~ much~ TOSS.OUT(Verb)
pati,EDGE ~s
fmhs,and~ he~ did~ STRIKE.THROUGH(Verb)
mioqb,from~ Ya'aqov
kfkb,STAR
irce,PROPERTY
moir,from~ CITY
feabid,and~ he~ did~ make~ PERISH(Verb)
fahritf,and~ END ~him
qnk,NEST ~you(ms)
bxlo,in~ the~ CLIFF
aitn,CONSISTENCY
tcbk,she~ will~ CAPTURE(Verb) ~you(ms)
lbor,to~ >~ much~ BURN(Verb)
mcmf,>~ PLACE(Verb) ~him
fsim,and~ NOMAD ~s
bcjim,in~ Shitiym
laleien,to~ Elohiym ~them(f)
lzbhi,to~ SACRIFICE ~s
ftqran,and~ they(f)~ will~ CALL.OUT(Verb)
pofr,to~ Ba'al-Pe'or
lbol,Yisra'eyl
fismd,
hrfn,FLAMING.WRATH
fefqo,and~ !(ms)~ make~ DISLOCATE(Verb)
ensmdim,MAN ~s ~him
cpji,TO
bkim,WEEP(Verb) ~ing(mp)
emdinit,the~ Mid'yan ~of
rmh,SPEAR
qbte,STOMACH ~her
fidqr,and~ he~ will~ PIERCE(Verb)
eqbe,the~ HUT
bqnati,in~ ZEALOUSNESS ~me
kliti,I~ did~ much~ much~ FINISH(Verb)
qnati,ZEALOUSNESS ~me
bqnaf,in~ >~ much~ BE.ZEALOUS(Verb) ~him
hmti,FURY ~me
kent,ADMINISTRATION
lcmoni,to~ Shimon ~of
xlfa,Salu
zmri,882 Zimri
kzbi,Kazbi
fekitm,and~ you(mp)~ did~ make~ HIT(Verb)
emdinim,the~ Mid'yan ~s
nklf,they~ did~ much~ BE.CRAFTY(Verb)
bnkliem,in~ CRAFTINESS ~s ~them(m)
srrim,PRESS.IN(Verb) ~ing(mp)
irdn,Yarden
borbt,in~ DESERT ~s
eplai,the~ Palu ~of
lplfa,to~ Palu
ehnki,the~ Hhanokh ~of
ekrmi,the~ Karmi
lkrmi,to~ Karmi
ehsrfni,the~ Hhetsron ~of
lhsrn,to~ Hhetsron
erafbni,the~ Re'uven ~of
plfa,Palu
bestm,in~ >~ make~ STRUGGLE(Verb) ~them(m)
bodt,in~ the~ COMPANY
esf,they~ did~ make~ STRUGGLE(Verb)
qrfai,CALL.OUT(Verb) ~ed(mp)
nmfal,Nemu'eyl
lnx,to~ STANDARD
bakl,in~ >~ EAT(Verb)
eikini,they~ did~ DIE(Verb)
likin,Qorahh
eimini,and~ SON ~s
limin,
enmfali,
lnmfal,
ecafli,the~ Yakhin ~of
lcafl,to~ Yakhin
ezrhi,the~ Yamin ~of
lzrh,to~ Yamin
ecmoni,CLAN
ecfni,and~ HUNDRED ~s2
lcfni,and~ TEN ~s
ehgi,TWO
lhgi,CLAN ~s
espfni,THESE
lspfn,
eori,the~ Shuni ~of
lori,to~ Shuni
eazni,the~ Hhagi
lazni,to~ Hhagi
earali,the~ Eyriy
larali,to~ Eyriy
larfd,to~ Azni
eprsi,Eyr
lprs,and~ Onan
eclni,Eyr
ehmfli,the~ Zerahh ~of
lhmfl,to~ Zerahh
ehsrni,the~ Perets ~of
epfni,HUNDRED ~s
lpfe,THOUSAND
etfloi,and~ SEVEN ~s
ecmrni,the~ Pun ~of
lcmrn,to~ Pu'a
eicbi,the~ Tola ~of
licfb,Tola
eihlali,HUNDRED ~s
lihlal,THOUSAND
ealni,and~ SIX ~s
lalfn,to~ REGISTER(Verb) ~ed(mp) ~them(m)
exrdi,Yis'sas'khar
lxrd,THESE
ezbflni,to~ Elyon
faprim,HUNDRED ~s
eglodi,and~ Ephrayim
lglod,to~ CLAN ~s ~them(m)
fmkir,
emkiri,
lmkir,
ehlqi,the~ Gil'ad ~of
lhlq,to~ Gil'ad
eaiozri,Gil'ad
aiozr,he~ did~ make~ BRING.FORTH(Verb)
eckmi,the~ Hheleq ~of
eacrali,the~ I'ezer ~of
facrial,I'ezer
ehpri,the~ Shekhem ~of
fhpr,and~ Shekhem
ecmidoi,the~ Asri'eyl ~of
fcmido,and~ Asri'eyl
ftrse,the~ Hheypher ~of
hgle,and~ Hheypher
fnoe,the~ Shemida ~of
slphd,and~ Shemida
hpr,
fslphd,
ethni,HUNDRED ~s
lthn,THOUSAND
ebkri,and~ FIVE ~s
lbkr,and~ REGISTER(Verb) ~ed(mp) ~them(m)
ectlhi,Menasheh
lcftlh,THESE
eorni,the~ Tahhan ~of
lorn,to~ Tahhan
cftlh,the~ Bekher ~of
eahirmi,to~ CLAN ~s ~them(m)
lahirm,SON ~s
eacbli,THESE
lacbl,and~ FIVE
ebloi,THOUSAND
lblo,TWO
ehfpmi,the~ Ahhiram ~of
lhfpm,to~ Ahhiram
ecfpmi,the~ Ashbeyl ~of
lcpfpm,to~ Ashbeyl
enomi,the~ Hhupham ~of
lnomn,to~ Hhupham
eardi,the~ Sheshupham ~of
ecfhmi,FIVE
lcfhm,to~ CLAN ~s ~them(m)
ebrioi,HUNDRED ~s
lbrioe,THOUSAND
eicfi,and~ SIX ~s
licfi,to~ REGISTER(Verb) ~ed(mp) ~them(m)
eimne,the~ Shuhham ~of
limne,ALL
emlkiali,the~ Beri'ah ~of
lmlkial,to~ Beri'ah
ehbri,the~ Yishwiy
crh,the~ Malki'el ~of
egfni,HUNDRED ~s
lgfni,THOUSAND
eihsali,and~ FIVE ~s
lihsal,to~ REGISTER(Verb) ~ed(mp) ~them(m)
eclmi,the~ Guni
eisri,the~ Yahhtse'el ~of
lisr,to~ Yahhtse'el
bnhle,TO
thlq,and~ he~ will~ much~ SPEAK(Verb)
nhltf,TITLE ~s
flmoj,
lcmft,to~ MOUTH
bgfrl,and~ to~ the~ SMALL.AMOUNT
lmoj,they(m)~ will~ INHERIT(Verb)
emrri,to~ SMALL.AMOUNT
lqet,the~ LOT
efld,to~ Merari
lomrm,CLAN
llfi,the~ Hhevron ~of
beqribm,Aviyhu
pqdf,Yisra'eyl
mpqfdi,the~ ADMINISTRATOR
fbale,THESE
fmlke,and~ Milkah
fhgle,and~ Hhaglah
noe,No'ah
ftqrbne,and~ they(f)~ will~ COME.NEAR(Verb)
bhjaf,in~ FAILURE ~him
mcpjn,DECISION ~them(f)
lbtf,to~ DAUGHTER ~him
feobrtm,and~ you(mp)~ did~ make~ CROSS.OVER(Verb)
lahi,to~ BROTHER ~s
omik,PEOPLE ~s ~you(ms)
fnaxpt,and~ you(ms)~ did~ be~ GATHER(Verb)
fraite,and~ you(ms)~ did~ SEE(Verb)
mribt,Meriyvah
bmribt,in~ CONTENTION
ksan,like~ the~ FLOCKS
ibiam,he~ will~ make~ COME(Verb) ~them(m)
ifsiam,he~ will~ make~ GO.OUT(Verb) ~them(m)
fxmkt,and~ you(ms)~ did~ SUPPORT(Verb)
fsfite,and~ you(ms)~ did~ much~ DIRECT(Verb)
mefdk,from~ SPLENDOR ~you(ms)
pif,MOUTH ~him
fcal,and~ he~ did~ INQUIRE(Verb)
nihhi,SWEET ~me
laci,to~ FIRE.OFFERING ~s ~me
lhmi,BREAD ~me
qrbni,DONATION ~me
focirit,and~ TENTH
eocie,the~ DO(Verb) ~ed(fs)
exk,!(ms)~ make~ POUR(Verb)
fknxkf,and~ like~ POURING ~him
bcbtf,in~ CEASING ~him
hdcikm,NEW.MOON ~s ~you(mp)
bhdcf,in~ NEW.MOON ~him
frbiot,and~ FOURTH
fclict,and~ THIRD
oflt,ASCENSION.OFFERING
bcbotikm,in~ WEEK ~s ~you(mp)
beqribkm,in~ >~ make~ COME.NEAR(Verb) ~you(mp)
ebkfrim,the~ FIRSTFRUIT ~s
ofle,ASCENSION.OFFERING
kmcpjm,like~ DECISION ~them(m)
fmnhte,and~ DEPOSIT ~her
fbocfr,and~ in~ TENTH.ONE
lclce,to~ THREE
mnhte,DEPOSIT ~her
bmxprm,in~ NUMBER ~them(m)
flkbcim,and~ to~ the~ SHEEP ~s
lailm,to~ the~ BUCK ~s
lprim,to~ the~ BULL ~s
fnxkie,and~ POURING ~s ~her
fnxkem,and~ POURING ~them(m)
flclmikm,and~ to~ OFFERING.OF.RESTITUTION ~s ~you(mp)
flnxkikm,and~ to~ POURING ~s ~you(mp)
flmnhtikm,and~ to~ DEPOSIT ~s ~you(mp)
loltikm,to~ ASCENSION.OFFERING ~s ~you(mp)
fndbtikm,and~ FREEWILL.OFFERING ~s ~you(mp)
mndrikm,from~ VOW ~s ~you(mp)
bmfodikm,in~ APPOINTED ~s ~you(mp)
emjft,TO
mpif,he~ did~ much~ DIRECT(Verb)
ihl,to~ >~ SAY(Verb)
axr,HEAD ~s
laxr,TO
bnorie,he~ will~ DO(Verb)
faxre,WORD ~him
tdr,SOUL ~him
ndrie,you(ms)~ will~ MAKE.A.VOW(Verb)
fehric,
ndre,
enia,UPON
ixlh,BOND
faxrie,SOUL ~her
cptie,to~ ~her
mbja,he~ will~ FORGIVE(Verb)
fndrie,NOT
iqmf,SOUL ~her
fepr,
afte,
inia,
fndr,and~ AT
eprm,she~ did~ TIE.UP(Verb)
flaxr,ALL
lndrie,and~ they~ did~ RISE(Verb)
mfsa,he~ did~ make~ FORBID(Verb)
ipr,
iprnf,to~ ~her
faice,he~ will~ FORGIVE(Verb)
ehrc,MAN ~her
axrie,VOW
feqim,
ihric,
ehlsf,!(mp)~ be~ EXTRACT(Verb)
hlfsi,EXTRACT(Verb) ~ed(mp)
malpi,from~ THOUSAND ~s
fimxrf,and~ they(m)~ will~ be~ COMMIT(Verb)
etrfoe,the~ SHOUT
fhssrft,and~ STRAIGHT.TRUMPET ~s
fisbaf,and~ they(m)~ will~ MUSTER(Verb)
hlliem,DRILLED ~s ~them(m)
bzzf,they~ did~ PLUNDER(Verb)
crpf,they~ did~ CREMATE(Verb)
jirtm,ROW.OF.TENTS ~s ~them(m)
emlqfh,the~ BOOTY
ecll,the~ SPOIL
orbt,DESERT ~s
emlhme,the~ BATTLE
ealpim,the~ THOUSAND ~s
ehil,the~ FORCE
ehiitm,?~ you(mp)~ >~ did~ LIVE(Verb)
lmxr,to~ >~ COMMIT(Verb)
bjp,in~ the~ BABIES
ehif,!(mp)~ make~ LIVE(Verb)
mckb,LYING.PLACE
bncim,in~ the~ WOMAN ~s
fcbikm,and~ CAPTIVE ~you(mp)
tthjaf,you(mp)~ will~ self~ FAIL(Verb)
esba,the~ ARMY
eoprt,the~ LEAD
ebrzl,the~ IRON
fjertm,and~ CLEAN ~them(m)
bgdikm,GARMENT ~s ~you(mp)
fkbxtm,and~ you(mp)~ did~ much~ WASH(Verb)
fraci,and~ HEAD ~s
mlqfh,904 BOOTY
tpci,SEIZE.HOLD(Verb) ~ing(mp)
fhsit,and~ you(ms)~ did~ DIVIDE(Verb)
mhmc,from~ FIVE
mkx,TRIBUTE
fermt,and~ you(ms)~ did~ make~ RAISE.UP(Verb)
lalozr,to~ Elazar
mmhsitm,from~ ONE.HALF ~them(m)
fmmhst,and~ from~ ONE.HALF
fhmct,and~ FIVE
ebz,the~ PLUNDER
fcbot,and~ SEVEN
bsba,in~ the~ ARMY
emhse,the~ HALF.THE.SPOILS
emkx,the~ TRIBUTE
fmkxm,and~ TRIBUTE ~them(m)
esbaim,the~ MUSTER(Verb) ~ing(mp)
hse,he~ did~ DIVIDE(Verb)
fmmhsit,and~ from~ ONE.HALF
mhst,HALF.THE.SPOILS
eahz,the~ TAKE.HOLD(Verb) ~ed(ms)
mmhst,from~ ONE.HALF
npqd,he~ did~ be~ REGISTER(Verb)
npctinf,SOUL ~s ~us
ogil,EARRING
fsmid,and~ BRACELET
asode,ARMLET
erimf,they~ did~ make~ RAISE.UP(Verb)
femaft,and~ the~ HUNDRED ~s
fbon,and~ Be'on
fnbf,and~ Nevo
fcbm,and~ Sevam
falole,and~ Elaley
fhcbfn,and~ Hheshbon
fnmre,and~ Nimrah
fiozr,and~ Yazeyr
fdibn,and~ Dibon
ojrft,Atarot
tobrnf,you(ms)~ will~ make~ CROSS.OVER(Verb) ~us
eahikm,?~ BROTHER ~s ~you(mp)
tnfafn,you(mp)~ will~ FORBID(Verb) ~must
brno,Barneya
bclhi,in~ >~ much~ SEND(Verb) ~me
finiaf,and~ they(m)~ will~ FORBID(Verb)
finom,and~ he~ will~ make~ STAGGER(Verb) ~them(m)
lxpft,to~ >~ CONSUME(Verb)
hjaim,FAILURE ~s
trbft,GREAT.AMOUNT
qmtm,you(mp)~ did~ RISE(Verb)
fchtm,and~ you(mp)~ did~ much~ DAMAGE(Verb)
lenihf,908 to~ >~ make~ REST(Verb) ~him
tcfbn,you(mp)~ will~ TURN.BACK(Verb) ~must
ljpnf,to~ BABIES ~us
forim,and~ CITY ~s
lmqnnf,to~ LIVESTOCK ~us
gdrt,FENCE ~s
embsr,the~ FORTIFICATION
mqfmm,AREA ~them(m)
ebianm,we~ did~ make~ COME(Verb) ~them(m)
hcim,MAKE.HASTE(Verb) ~ed(mp)
nhls,we~ will~ be~ EXTRACT(Verb)
etnhl,>~ self~ INHERIT(Verb)
nhltnf,INHERITANCE ~us
nnhl,we~ will~ INHERIT(Verb)
thlsf,you(ms)~ will~ be~ EXTRACT(Verb)
efricf,he~ did~ make~ POSSESS(Verb) ~him
hlfs,EXTRACT(Verb) ~ed(ms)
fmicral,and~ from~ Yisra'eyl
fnkbce,and~ she~ did~ be~ SUBDUE(Verb)
fdof,and~ !(mp)~ KNOW(Verb)
mpikm,from~ MOUTH ~you(mp)
feisa,and~ the~ GO.OUT(Verb) ~ing(ms)
lsnakm,to~ FLOCKS ~you(mp)
fgdrt,and~ FENCE ~s
orim,CITY ~s
bemtnf,BEAST ~us
iobrf,they(m)~ will~ CROSS.OVER(Verb)
fnahzf,and~ they~ did~ be~ TAKE.HOLD(Verb)
hlfsim,EXTRACT(Verb) ~ed(mp)
bgblt,in~ BORDER ~s
lorie,to~ CITY ~s ~her
flhsi,and~ to~ the~ HALF
oror,Aro'eyr
ojrt,Atarot
fibnf,and~ they(m)~ will~ BUILD(Verb)
figbee,and~ Yagbahah
cfpn,Shophan
nmre,and~ AT
alola,Elaley
cbme,Sevam
nbf,Nevo
fifrc,and~ POSSESS(Verb) ~ing(ms)
filkde,and~ they(m)~ will~ TRAP(Verb) ~her
glode,Gil'ad ~unto
iair,Ya'ir
hft,Hhawot
hftiem,TOWN ~s ~them(m)
filkd,and~ he~ will~ TRAP(Verb)
fiair,and~ Ya'ir
bcmf,in~ TITLE ~him
nbh,Novahh
qnt,Qenat
fnbh,and~ Novahh
lmfsaiem,to~ GOING.OUT ~s ~them(m)
mfsaiem,GOING.OUT ~s ~them(m)
fbaleiem,and~ in~ Elohiym ~them(m)
mqbrim,much~ BURY(Verb) ~ing(mp)
bmre,in~ Marah
fbailm,and~ in~ Eyliym
bdpqe,in~ Daphqah
balfc,in~ Alush
mdpqe,from~ Daphqah
malfc,from~ Alush
mrpidm,from~ Rephiydiym
bqbrt,and~ they(m)~ will~ CAMP(Verb)
bhsrt,in~ Hhatsarot
mqbrt,and~ they(m)~ will~ JOURNEY(Verb)
brtme,in~ Ritmah
mhsrt,from~ Hhatsarot
brmn,and~ they(m)~ will~ CAMP(Verb)
mrtme,and~ they(m)~ will~ JOURNEY(Verb)
blbne,in~ Livnah
mrmn,and~ they(m)~ will~ JOURNEY(Verb)
brxe,in~ Risah
mlbne,from~ Livnah
bqelte,in~ Qe'hey'latah
mrxe,from~ Risah
mqelte,from~ Qe'hey'latah
bhrde,in~ Hharadah
bmqelt,in~ Maqheylot
mhrde,from~ Hharadah
btht,in~ Tahhat
mmqelt,from~ Maqheylot
btrh,in~ Terahh
bmtqe,in~ Mitqah
mtrh,from~ Terahh
bhcmne,in~ Hhashmonah
mmtqe,from~ Mitqah
bmxrft,in~ Moseyrot
mhcmne,from~ Hhashmonah
ioqn,in~ B'ney-Ya'aqan
mmxrft,and~ they(m)~ will~ JOURNEY(Verb)
egdgd,in~ Hhor-Hagidgad
bijbte,in~ Yatvatah
bobrne,in~ Evronah
mijbte,from~ Yatvatah
bosin,and~ they(m)~ will~ CAMP(Verb)
mobrne,and~ they(m)~ will~ JOURNEY(Verb)
mosin,and~ they(m)~ will~ JOURNEY(Verb)
bmtf,in~ DEATH ~him
bba,in~ >~ COME(Verb)
bslmne,in~ Tsalmonah
bpfnn,in~ Punon
mslmne,from~ Tsalmonah
mpfnn,from~ Punon
bgbfl,in~ BORDER
bdibn,and~ they(m)~ will~ CAMP(Verb)
moiim,and~ they(m)~ will~ JOURNEY(Verb)
dbltime,in~ Almon-Divlatayim
bolmn,and~ they(m)~ will~ CAMP(Verb)
mdibn,
beri,in~ HILL ~s
molmn,and~ they(m)~ will~ JOURNEY(Verb)
ecjim,Aveyl-Hashit'tim
eicmt,the~ Yarden
tcmidf,you(mp)~ will~ make~ DESTROY(Verb)
bmftm,PLATFORM ~s ~them(m)
tabdf,you(ms)~ will~ much~ PERISH(Verb)
mxktm,CAST.IMAGE ~s ~them(m)
slmi,IMAGE ~s
mckitm,IMAGERY ~them(m)
fefrctm,and~ you(mp)~ did~ make~ POSSESS(Verb)
ttnhlf,you(mp)~ will~ self~ INHERIT(Verb)
lmjft,to~ BRANCH
trbf,you(mp)~ will~ make~ INCREASE(Verb)
icbim,SETTLE(Verb) ~ing(mp)
fsrrf,and~ they~ did~ PRESS.IN(Verb)
bsdikm,in~ SIDE ~s ~you(mp)
flsninm,and~ to~ PRICKLY.THORN ~s
lckim,to~ STICKERBUSH ~s
tfricf,you(mp)~ will~ make~ POSSESS(Verb)
dmiti,I~ did~ much~ RESEMBLE(Verb)
lgbltie,to~ BORDER ~s ~her
osmne,Atsmon ~unto
adr,Hhatsar-Adar
tfsatif,and~ he~ did~ EXIST(Verb)
sne,919 and~ he~ did~ CROSS.OVER(Verb)
oqrbim,to~ ASCENT
fnxb,
eime,the~ SEA ~unto
mosmfn,from~ Atsmon
fgbfl,and~ BORDER
ttaf,you(mp)~ will~ much~ POINT(Verb)
sdde,Tsedad ~unto
tfsat,GOINGS ~s
zprne,the~ BORDER
cpme,Shepham ~unto
mhsr,EAST ~unto
fetafitm,
knrt,Kineret
ktp,SHOULDER.PIECE
loin,to~ Ayin
erble,the~ Rivlah
mcpm,from~ Shepham
eirdne,the~ Yarden ~unto
ltcot,to~ NINE
nhltm,INHERITANCE ~them(m)
lnhl,to~ >~ INHERIT(Verb)
mmje,from~ BRANCH
cmfal,Shemu'eyl
flmje,and~ to~ BRANCH
kxlfn,Kislon
alidd,Elidad
igli,Yagli
bqi,Buqi
hnial,Hhani'eyl
cpjn,Shaphtan
prnk,Parnakh
ozn,Azan
pljial,Palti'eyl
ahiefd,Ahhihud
pdeal,Pedah'eyl
fmgrc,and~ OPEN.SPACE
mnhlt,from~ INHERITANCE
hitm,LIVING ~them(m)
flrkcm,and~ to~ GOODS ~them(m)
lbemtm,to~ BEAST ~them(m)
fmgrciem,and~ OPEN.SPACE ~s ~them(m)
fhfse,and~ OUTSIDE ~unto
mqir,from~ WALL
fmgrci,and~ OPEN.SPACE ~s
mgrci,OPEN.SPACE ~s
feoir,and~ the~ CITY
fmdtm,and~ you(mp)~ did~ MEASURE(Verb)
foliem,and~ UPON ~them(m)
